Arrays,,,,
,,,,
12th April,,,,
Validate Stack,Stack Validation,,,https://leetcode.com/problems/validate-stack-sequences/
Longest Unbalanced Subsequence,,,,
Infix evaluation,"Infix,Prefix,Postfix",,,https://leetcode.com/problems/basic-calculator/
infix to postfix,,,,https://www.pepcoding.com/resources/online-java-foundation/stacks-and-queues/infix-conversions-official/ojquestion
infix to prefix,,,,https://www.pepcoding.com/resources/online-java-foundation/stacks-and-queues/infix-conversions-official/ojquestion
Postfix,postfix evaluation and conversions,,,https://www.pepcoding.com/resources/online-java-foundation/stacks-and-queues/postfix-evaluation-conversions-official/ojquestion
prefix,prefix evaluation and conversions,,,https://www.pepcoding.com/resources/online-java-foundation/stacks-and-queues/prefix-official/ojquestion
max frequency stack,max freq stack (HW),,,https://leetcode.com/problems/maximum-frequency-stack/
,,,,
,,,,
DP,,,,
9 Aug,,,,#ERROR!
longest increasing subsequence,LIS(n^2),,,https://leetcode.com/problems/longest-increasing-subsequence/
longest increasing subsequence,LIS(nLogn),,,https://leetcode.com/problems/longest-increasing-subsequence/
building bridges,Building bridges,https://www.spoj.com/problems/BRDGHRD/,,https://www.geeksforgeeks.org/dynamic-programming-building-bridges/
Russian doll envelopes,Envelope stacking,,,https://leetcode.com/problems/russian-doll-envelopes/
Box stacking,Stacking,,,https://practice.geeksforgeeks.org/problems/box-stacking/1
minimum number of increasing subsequence,min number of inc subseq,,,https://www.geeksforgeeks.org/minimum-number-of-increasing-subsequences/
weighted Job scheduling,weighted job scheduling,,,https://www.geeksforgeeks.org/weighted-job-scheduling-set-2-using-lis/?ref=rp
,,,,
10 Aug,,,,#ERROR!
Paint fence,Paint fence,,,https://www.lintcode.com/problem/paint-fence/description
Paint house,Paint house(Foundation),,,https://www.lintcode.com/problem/paint-house/description
Paint house 2,Paint house 2(foundation),,,https://www.lintcode.com/en/old/problem/paint-house-ii/
No. of binary string without consecutive 1,Without cons 1,,,https://www.geeksforgeeks.org/count-number-binary-strings-without-consecutive-1s/
Possible ways to construct the building,,,,https://www.geeksforgeeks.org/count-possible-ways-to-construct-buildings/
https://www.geeksforgeeks.org/highway-billboard-problem/,Highway billboard problem,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/dp/highway-billboard-official/ojquestion,,https://www.geeksforgeeks.org/highway-billboard-problem/
Catalan number,,,,
Total no. of bst,Total bst,,,https://www.geeksforgeeks.org/total-number-of-possible-binary-search-trees-with-n-keys/
No. of balanced parentheses sequence,,,,
Applications of Catalan numbers,,,,https://cp-algorithms.com/combinatorics/catalan-numbers.html
Min cost path,min cost path,,,https://leetcode.com/problems/minimum-path-sum/
Cherry pickup,Cherry pickup,,,https://leetcode.com/problems/cherry-pickup/
,,,,
,,,,
11 Aug,,,,#ERROR!
Cherry pickup 2,,,,https://leetcode.com/problems/cherry-pickup-ii/
best time to buy and sell stock,best time to buy and sell,,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
best time to buy and sell 2,best time to buy and sell 2,,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
buy and sell with transaction fee,transaction fee,,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/
best time to buy and sell with cool down,cooldown,,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/
best time to buy and sell 3,best time to buy and sell 3,,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/
best time to but and sell 4,best time to buy and sell 4,,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/
,,,,
16 Aug,,,,#ERROR!
burst balloons,Burst balloons,,,https://leetcode.com/problems/burst-balloons/
Minimum score triangulation,Min score triangulation,,,https://leetcode.com/problems/minimum-score-triangulation-of-polygon/
boolean parenthesization,boolean parenthesization,,,https://www.lintcode.com/problem/boolean-parenthesization/description
Min and max val of expression,Min and max,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/dynamic-programming/min-max-value-expression-official/ojquestion,,https://www.geeksforgeeks.org/minimum-maximum-values-expression/
Optimal BST,optimal BST,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/dynamic-programming/optimal-bst-official/ojquestion,,https://www.geeksforgeeks.org/optimal-binary-search-tree-dp-24/
Matrix chain multiplication,MCM (HW),,,https://www.geeksforgeeks.org/matrix-chain-multiplication-dp-8/
,,,,
17 Aug,,,,#ERROR!
Longest common subsequence,LCS,,,https://leetcode.com/problems/longest-common-subsequence/
LCS triplet,LCS triplet,,,https://www.geeksforgeeks.org/lcs-longest-common-subsequence-three-strings/
Longest pallinddromic subsequence,LPS,,,https://leetcode.com/problems/longest-palindromic-subsequence/
Count all pallindromic subsequence,,,,https://www.geeksforgeeks.org/count-palindromic-subsequence-given-string/
Count distinct pallindromic subsequence,,,,https://leetcode.com/problems/count-different-palindromic-subsequences/
Palindromic substrings,,,,https://leetcode.com/problems/palindromic-substrings/
No. of sequence of type a^i+b^j+c^k,seq of given type,,,https://www.geeksforgeeks.org/number-subsequences-form-ai-bj-ck/
COunt of distinct subsequences,(HW),,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/dynamic-programming/count-distinct-subsequences-official/ojquestion
2 egg 100 floor,,,,https://www.geeksforgeeks.org/puzzle-set-35-2-eggs-and-100-floors/
egg drop,,,,https://www.geeksforgeeks.org/egg-dropping-puzzle-dp-11/
Optimal strategy for a game,(HW),,,https://www.geeksforgeeks.org/optimal-strategy-for-a-game-dp-31/
,,,,
,,,,
23 Aug,,,,#ERROR!
Ugly number,,,,https://www.geeksforgeeks.org/ugly-numbers/
Super ugly number,Super ugly number,,,https://www.geeksforgeeks.org/super-ugly-number-number-whose-prime-factors-given-set/
Regular Expression Matching,,,,https://leetcode.com/problems/regular-expression-matching/
Wildcard pattern matching,Wildcard(HW),,,https://www.geeksforgeeks.org/wildcard-pattern-matching/
Palindrome partitioning,,,,https://leetcode.com/problems/palindrome-partitioning-ii/
Longest Bitonic subsequence,,,,https://www.geeksforgeeks.org/longest-bitonic-subsequence-dp-15/
Knights probability in chessboard,,,,https://www.geeksforgeeks.org/probability-knight-remain-chessboard/
Longest repeating subsequence,HW,,,https://www.geeksforgeeks.org/longest-repeating-subsequence/
,,,,
24 Aug,,,,#ERROR!
Max sum subarray with atleast k elements,,,,https://www.geeksforgeeks.org/largest-sum-subarray-least-k-numbers/
Number of digit 1,Number of digit 1,,,https://leetcode.com/problems/number-of-digit-one/
Classy Numbers,Classy numbers,,,https://codeforces.com/problemset/problem/1036/C
Total Palindromic numbers,Total palindromic numbers,,,https://www.codechef.com/problems/AOPN
Maximum product,(HW),,,https://codeforces.com/gym/100886/problem/G
Jump game 2,,,,https://leetcode.com/problems/jump-game-ii/
Longest common substring,(HW),,,https://www.geeksforgeeks.org/longest-common-substring-dp-29/
,,,,
25 Aug,,,,#ERROR!
Scramble string,Scramble string,,,https://leetcode.com/problems/scramble-string/
Word break problem,,,,https://www.geeksforgeeks.org/word-break-problem-dp-32/
Shortest common superseq,,,,https://www.geeksforgeeks.org/shortest-common-supersequence/
Frog jump,,,,https://leetcode.com/problems/frog-jump/
Edit Distance,,,,https://leetcode.com/problems/edit-distance/
Friends pairing problem,(HW),,,https://www.geeksforgeeks.org/friends-pairing-problem/
rod cutting,(TRY),,,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/
,,,,
30 Aug,,,,#ERROR!
Distinct subsequences,,,,https://leetcode.com/problems/distinct-subsequences/
Remove Boxes,,,,https://leetcode.com/problems/remove-boxes/
0-1 Knapsack,,,,https://www.geeksforgeeks.org/0-1-knapsack-problem-dp-10/
unbounded knapsack,,,,https://www.geeksforgeeks.org/unbounded-knapsack-repetition-items-allowed/
Fractional knapsack,,,,https://www.geeksforgeeks.org/fractional-knapsack-problem/
Partition equal subset sum,(HW),,,https://leetcode.com/problems/partition-equal-subset-sum/
Ones and Zeores,(HW),,,https://leetcode.com/problems/ones-and-zeroes/
Coin change combination,,,,https://www.pepcoding.com/resources/online-java-foundation/dynamic-programming-and-greedy/coin-change-combination-official/ojquestion
Coin change permutation,,,,https://www.pepcoding.com/resources/online-java-foundation/dynamic-programming-and-greedy/coin-change-permutations-official/ojquestion
Dungeon game,(HW),,,https://leetcode.com/problems/dungeon-game/
,,,,
Searching and sorting,,,,
31 Aug,,,,#ERROR!
Binary search,,,,
median of two sorted array,median of two sorted array,,,https://leetcode.com/problems/median-of-two-sorted-arrays/
capacity to ship within D days,capacity to ship within D days,already done,,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/
koko eating bananas,koko eating bananas,already done,,https://leetcode.com/problems/koko-eating-bananas/
smallest divisor given a threshold,smallest divisor given a threshold,,,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/
Painter's partition problem,painter's partition problem,,,https://www.interviewbit.com/problems/painters-partition-problem/#
split array largest sum,split array largest sum,(HW),,https://leetcode.com/problems/split-array-largest-sum/
,,,,
,,,,
1 Sept,,,,
Kth smallest prime fraction,Kth smallest prime,,,https://leetcode.com/problems/k-th-smallest-prime-fraction/
K-th smallest in sorted matrix,,,,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
search in rotated sorted array,search in rotated sorted array,,,https://leetcode.com/problems/search-in-rotated-sorted-array/
Find Minimum in rotated sorted array,,,,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
find min in rotated sorted array 2,,,,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/
Search in rotated sorted array 2,(HW),,,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/
Guess the kth zero,,,,https://codeforces.com/problemset/problem/1520/F1
merge sort,merge sort,,,https://www.geeksforgeeks.org/merge-sort/
count inversions,count inversions,,,https://www.geeksforgeeks.org/counting-inversions/
,,,,
8 Sept,,,,
Chocolate distribution problem,,,,https://www.geeksforgeeks.org/chocolate-distribution-problem/
Allocate books,,,,https://www.interviewbit.com/problems/allocate-books/
Count sort,,,,https://www.geeksforgeeks.org/counting-sort/
Radix sort,,,,https://www.geeksforgeeks.org/radix-sort/
Quick sort,,,,https://www.geeksforgeeks.org/quick-sort/
Bucket sort,,,,https://www.geeksforgeeks.org/bucket-sort-2/
,,,,
LinkedList,,,,
7 Sept,,,,
reverse LinkedList,Reverse LinkedList,,,https://leetcode.com/problems/reverse-linked-list/
Find the middle element,middle element,,,https://www.geeksforgeeks.org/write-a-c-function-to-print-the-middle-of-the-linked-list/
Floyd cycle,Detect loop in a linkedlist,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/cycle-node-in-linkedlist/ojquestion,,https://www.geeksforgeeks.org/detect-loop-in-a-linked-list/
Clone a linkedlist,clone,,,https://www.geeksforgeeks.org/a-linked-list-with-next-and-arbit-pointer/
Split circular Linkedlist,Split into two parts,,,https://www.geeksforgeeks.org/split-a-circular-linked-list-into-two-halves/
Intersection point of 2 linked list,Intersection point,,,https://www.geeksforgeeks.org/write-a-function-to-get-the-intersection-point-of-two-linked-lists/
LRU Cache,LRU Cache,,,https://leetcode.com/problems/lru-cache/
LFU cache,LFU Cache,,,https://leetcode.com/problems/lfu-cache/
,,,,
HW,,,,
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/fold-of-linkedlist/ojquestion,Fold a linkedlist,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/fold-of-linkedlist/ojquestion
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/unfold-of-linkedlist/ojquestion,Unfold a linkedlist,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/unfold-of-linkedlist/ojquestion
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/segregate-even-and-odd-nodes-in-a-link-list/ojquestion,Segregate even and odd nodes,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/segregate-even-and-odd-nodes-in-a-link-list/ojquestion
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/add-two-linkedlist/ojquestion,Add two linkedlist,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/add-two-linkedlist/ojquestion
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/subtract-two-linkedlist/ojquestion,Subtract two linkedlist,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/subtract-two-linkedlist/ojquestion
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/quicksort-in-linkedlist/ojquestion,Quick sort in linkedlist,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/quicksort-in-linkedlist/ojquestion
,,,,
,,,,
Trie,,,,
13 Sept,,,,
Implement TRIE,,,,https://leetcode.com/problems/implement-trie-prefix-tree/
Maximum xor of two numbers in an array,,,,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/
Design add and search words,,,,https://leetcode.com/problems/design-add-and-search-words-data-structure/
concatenated words,,,,https://leetcode.com/problems/concatenated-words/
Word search 2,,,,https://leetcode.com/problems/word-search-ii/
Map sum pairs,,,,https://leetcode.com/problems/map-sum-pairs/
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/trie,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/trie
,,,,
14 Sept,,,,
Basic of bits,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/basics-of-bit-official/ojquestion
Print RSB mask,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/print-value-of-rsb-mask-official/ojquestion
Kernighans algorithm,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/kernighans-algo-official/ojquestion
Grey Code,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/gray-code/ojquestion
All repeating except one,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/all-repeating-except-one-official/ojquestion
All repeating except 2,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/all-repeating-except-two-official/ojquestion
RPD and Rap Sheet,,,,https://codeforces.com/problemset/problem/1543/D1
Minimum number of software dev,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/minimum-number-of-software-developers-official/ojquestion
Subsets of an array,,,,https://www.pepcoding.com/resources/online-java-foundation/function-and-arrays/subsets_of_array/topic
Array Differentiation,,,,https://codeforces.com/problemset/problem/1552/D
,,,,
,,,,
16 Sept,,,,
One repeating and one missing,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/one-repeating-and-one-missing-official/ojquestion
All repeating three times except 1,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/all-repeating-three-times-except-one-official/ojquestion
Triplets - 1,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/triplets-1-official/ojquestion
Reduce N to 1,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/reduce-n-to-1-official/ojquestion
Pepcoder and BITS,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/pepcoder-and-bits-official/ojquestion
XOR of sum of all pairs,,,,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/bit-manipulation/xor-sum-pair-official/ojquestion
