Arrays,,,,
,,,,
12th April,,,,
Number of Enclaves,number-of-enclaves,,,https://leetcode.com/problems/number-of-enclaves
Rotting Oranges,rotten-oranges,,,https://leetcode.com/problems/rotting-oranges
Bipartite graph,Bipartite graph,,,https://leetcode.com/problems/is-graph-bipartite/
Bus routes,Bus routes,,,https://leetcode.com/problems/bus-routes/
,,,,
23 June,,,,#ERROR!
Prim's Algo,Prims algo,,,https://www.spoj.com/problems/MST/
connecting cities with minimum cost,Connecting cities with min cost,,,https://www.geeksforgeeks.org/minimum-cost-connect-cities/
Dijkstra algo,Dijkstra,,,https://www.geeksforgeeks.org/dijkstras-shortest-path-algorithm-greedy-algo-7/
swim in rising water,,,,https://leetcode.com/problems/swim-in-rising-water/
0-1 matrix,01-matrix,,,https://leetcode.com/problems/01-matrix/
As far from land as possible,As far from land as possible(HW),,,https://leetcode.com/problems/as-far-from-land-as-possible/
,,,,
,,,,
28 June,,,,#ERROR!
bellman ford,Bellman ford,,,https://www.geeksforgeeks.org/bellman-ford-algorithm-dp-23/
Strongly Connected Components (Kosaraju's Algo),,,,https://practice.geeksforgeeks.org/problems/strongly-connected-components-kosarajus-algo/1
Mother Vertex,mother-vertex,,,https://practice.geeksforgeeks.org/problems/mother-vertex/1
Coloring A Border,coloring-a-border,,,https://leetcode.com/problems/coloring-a-border
Shortest bridge,(HW),,,https://leetcode.com/problems/shortest-bridge/
,,,,
29 June,,,,#ERROR!
topological sorting,topological sorting,,,https://www.geeksforgeeks.org/topological-sorting/
Kahn's algo,Kahn's algo,,,https://www.geeksforgeeks.org/topological-sorting-indegree-based-solution/
course schedule 2,course schedule 2,,,https://leetcode.com/problems/course-schedule-ii/
Alien Dictionary,Alien dictionary,https://leetcode.com/problems/alien-dictionary/,,https://www.geeksforgeeks.org/given-sorted-dictionary-find-precedence-characters/
DSU,,,,
DFS vs DSU,,,,
,,,,
30 June,,,,#ERROR!
Number of Islands II,number-of-islands-ii,,,https://www.lintcode.com/en/old/problem/number-of-islands-ii/#
Regions Cut By Slashes,regions-cut-by-slashes,,,https://leetcode.com/problems/regions-cut-by-slashes
Sentence Similarity II,sentence-similarity,"https://www.lintcode.com/problem/855/
",,https://medium.com/@rebeccahezhang/leetcode-737-sentence-similarity-ii-2ca213f10115
Satisfiability of Equality Equations,consistent-equations,,,https://leetcode.com/problems/satisfiability-of-equality-equations
Redundant Connection,redundant-connection,,,https://leetcode.com/problems/redundant-connection
evaluate division,(HW),.,,https://leetcode.com/problems/evaluate-division/
,,,,
5 July,,,,#ERROR!
Redundant connection 2,redundant-connection 2,,,https://leetcode.com/problems/redundant-connection-ii/
Minimize Malware Spread,minimize-malware-spread,,,https://leetcode.com/problems/minimize-malware-spread
"
",MST,https://www.spoj.com/problems/MST//,,
optimize water distribution,,https://discuss.codechef.com/t/how-to-solve-this-google-interview-graph-question/35981,,https://leetcode.com/problems/optimize-water-distribution-in-a-village/
Articulation point,articulation point and bridges,,,https://www.geeksforgeeks.org/articulation-points-or-cut-vertices-in-a-graph/
Doctor Strange,doctor-strange.             .,https://www.spoj.com/problems/SUBMERGE/,,https://practice.geeksforgeeks.org/problems/doctor-strange/0
,,,,
6 July,,,,#ERROR!
Job Sequencing,Job sequencing,.,,https://www.geeksforgeeks.org/job-sequencing-problem/
Similar String Groups,,.,,https://leetcode.com/problems/similar-string-groups
